"""","事業所数","淡水計(m3／日)","工業用水　道(m3／日)","上水道(m3／日)","井戸水(m3／日)","その他の淡水(m3／日)","回収水(m3／日)","海   水(m3／日)"
"平成24年(2012年)","344.0","1633409.0","440504.0","16505.0","40595.0","2731.0","1133074.0","1004355.0"
"平成25年(2013年)","349.0","1672703.0","439485.0","53184.0","42363.0","2605.0","1135066.0","1016394.0"
"","","","","","","","",""
"　和歌山市","124.0","1303269.0","339835.0","4557.0","6092.0","2559.0","950226.0","823338.0"
"　海 南 市","30.0","212684.0","35913.0","503.0","25.0","-","176243.0","-"
"　橋 本 市","8.0","47.0","-","33.0","14.0","-","-","-"
"　有 田 市","15.0","71585.0","62790.0","779.0","268.0","-","7748.0","193056.0"
"　御 坊 市","9.0","4720.0","-","4116.0","580.0","24.0","-","-"
"　田 辺 市","22.0","12062.0","-","10998.0","1064.0","-","-","-"
"　新 宮 市","2.0","x","-","x","-","-","-","-"
"　紀の川市","41.0","10389.0","947.0","444.0","8176.0","-","822.0","-"
"　岩 出 市","10.0","2027.0","-","147.0","1880.0","-","-","-"
"","","","","","","","",""
"　紀美野町","6.0","72.0","-","62.0","-","5.0","5.0","-"
"","","","","","","","",""
"　かつらぎ町","11.0","10030.0","-","45.0","9979.0","-","6.0","-"
"　九度山町","-","-","-","-","-","-","-","-"
"　高 野 町","-","-","-","-","-","-","-","-"
"","","","","","","","",""
"　湯 浅 町","3.0","50.0","-","45.0","-","5.0","-","-"
"　広 川 町","4.0","41.0","-","11.0","18.0","12.0","-","-"
"  有田川町","12.0","529.0","-","248.0","271.0","-","10.0","-"
"","","","","","","","",""
"　美 浜 町","3.0","117.0","-","115.0","-","-","2.0","-"
"　日 高 町","1.0","x","-","x","x","-","x","-"
"　由 良 町","3.0","509.0","-","509.0","-","-","-","-"
"　印 南 町","4.0","138.0","-","138.0","-","-","-","-"
"　みなべ町","15.0","35062.0","-","29191.0","5871.0","-","-","-"
"　日高川町","7.0","3715.0","-","309.0","3406.0","-","-","-"
"","","","","","","","",""
"　白 浜 町","4.0","414.0","-","414.0","-","-","-","-"
"　上富田町","10.0","4940.0","-","296.0","4644.0","-","-","-"
"　すさみ町","2.0","x","-","x","-","-","-","-"
"","","","","","","","",""
"　那智勝浦町","1.0","x","-","x","x","-","x","-"
"　太 地 町","-","-","-","-","-","-","-","-"
"　古座川町","-","-","-","-","-","-","-","-"
"　北 山 村","-","-","-","-","-","-","-","-"
"　串 本 町","2.0","x","-","x","x","-","x","-"
